neighborhood,str_count,entire_home_count,avg_price,median_price,avg_rating,avg_reviews,superhost_count,early_adopter_count,avg_start_year,avg_dist_center,entire_home_share,superhost_share,high_str
Ali Demi,19,13,349.82473684210527,338.0,4.865263157894737,4.157894736842105,11,0,2025.0,5.818789473684211,0.6842,0.5789,0
Astir,49,45,369.9320408163265,352.0,4.849795918367347,4.755102040816326,8,0,2024.9591836734694,4.885979591836734,0.9184,0.1633,1
Bathore,1,0,371.0,371.0,4.33,3.0,0,0,2025.0,6.108,0.0,0.0,0
Blloku,105,103,376.27933333333334,357.0,4.907333333333333,133.66666666666666,77,45,2021.5333333333333,0.8115047619047618,0.981,0.7333,1
Bulevardi,20,20,379.55,354.0,4.9235,56.3,12,2,2023.4,1.7492,1.0,0.6,0
Center,32,32,331.21875,304.0,4.904375,52.84375,22,2,2023.5625,1.6275312499999999,1.0,0.6875,1
Don Bosko,42,32,346.73809523809524,328.5,4.899523809523809,18.238095238095237,21,1,2024.5714285714287,3.438190476190476,0.7619,0.5,1
Fresku,19,18,323.1578947368421,246.0,4.907368421052631,1.5263157894736843,0,0,2025.0,2.4352105263157893,0.9474,0.0,0
Kashar,25,19,452.16,404.0,4.9044,27.72,11,1,2024.32,5.83048,0.76,0.44,0
Kinostudio,31,31,363.83870967741933,308.0,4.937096774193549,35.225806451612904,17,2,2024.0967741935483,2.790161290322581,1.0,0.5484,1
Kodra,6,6,264.6666666666667,251.5,4.739999999999999,13.166666666666666,0,0,2024.8333333333333,4.483833333333333,1.0,0.0,0
Kombinat,75,74,366.2133333333333,337.0,4.8890666666666664,43.13333333333333,43,3,2023.9733333333334,2.0908933333333333,0.9867,0.5733,1
Laprake,35,35,360.3142857142857,327.0,4.922285714285715,4.171428571428572,10,0,2024.942857142857,2.529457142857143,1.0,0.2857,1
Liqeni,32,29,391.125,400.0,4.8953125,13.28125,9,0,2024.75,2.77228125,0.9062,0.2812,1
Mezez,3,3,422.3333333333333,461.0,4.8966666666666665,8.666666666666666,0,0,2025.0,6.632666666666666,1.0,0.0,0
Myslym Shyri,36,36,392.02777777777777,372.5,4.925833333333333,118.69444444444444,29,10,2021.8055555555557,0.8336666666666667,1.0,0.8056,1
Pazari i Ri,26,26,403.9230769230769,392.0,4.895384615384615,173.84615384615384,13,14,2020.8076923076924,0.6496153846153846,1.0,0.5,0
Sauk,2,2,390.5,390.5,4.96,4.0,0,0,2025.0,6.4085,1.0,0.0,0
Selvia,14,13,394.7142857142857,412.0,4.920714285714285,45.07142857142857,6,1,2023.7857142857142,1.9242142857142857,0.9286,0.4286,0
Shkoza,34,33,428.6667647058824,398.0,4.930882352941176,22.470588235294116,18,2,2024.5588235294117,2.2535882352941177,0.9706,0.5294,1
